,community1,community2,edges
323,3,1081,178
324,3,94,711
325,3,633,1249
326,3,382,3
327,3,172,1128
328,3,109,226
329,3,246,1
330,3,7,4
331,3,96,1889
332,3,74,6
333,3,1590,532
334,3,78,951
335,3,747,5
336,3,11,329
337,3,269,534
338,3,73,439
339,3,2573,2
340,3,13,66
341,3,204,37
342,3,257,40
343,3,1476,2
344,3,437,3
345,3,393,20
346,3,31,278
347,3,471,3
348,3,19,116
349,3,428,603
350,3,77,1073
351,3,71,507
352,3,171,770
353,3,2052,59
354,3,469,23
355,3,1508,87
356,3,1273,61
357,3,80,1
358,3,722,27
359,3,52,4
360,3,1822,7
361,3,978,165
362,3,1448,2
363,3,203,43
364,3,346,8
365,3,2291,1
366,3,975,3
367,3,362,19
368,3,305,5
369,3,187,3
370,3,37,114
371,3,1165,10
372,3,1192,2
373,3,221,6
374,3,397,10
375,3,1531,12
376,3,714,14
377,3,133,5
378,3,1886,2
379,3,1446,4
380,3,524,4
381,3,2137,7
382,3,191,4
383,3,1696,12
384,3,274,10
385,3,9,118
386,3,182,12
387,3,380,1
388,3,185,4
389,3,213,10
390,3,173,5
391,3,137,11
392,3,573,3
393,3,1092,5
394,3,336,6
395,3,160,178
396,3,1219,17
397,3,1806,8
398,3,364,4
399,3,32,13
400,3,1102,12
401,3,249,12
402,3,16,1
403,3,486,19
404,3,500,2
405,3,70,3
406,3,110,2
407,3,634,5
408,3,567,4
409,3,237,124
410,3,2,7
411,3,1996,31
412,3,516,11
413,3,97,3
414,3,1308,104
415,3,1101,20
416,3,2512,3
417,3,617,28
418,3,21,2
419,3,968,2
420,3,286,9
421,3,33,62
422,3,231,2
423,3,1527,10
424,3,41,1
425,3,140,15
426,3,1680,30
427,3,737,2
428,3,1821,2
429,3,38,4
430,3,2156,16
431,3,248,3
432,3,723,2
433,3,250,7
434,3,64,2
435,3,2049,8
436,3,201,12
437,3,1117,4
438,3,620,3
439,3,36,28
440,3,1255,4
441,3,112,6
442,3,836,2
443,3,771,2
444,3,39,4
445,3,995,5
446,3,40,3
447,3,170,16
448,3,154,2
449,3,159,64
450,3,790,50
451,3,1857,1
452,3,1935,14
453,3,2075,5
454,3,1514,3
455,3,361,4
456,3,536,31
457,3,87,3
458,3,284,6
459,3,1372,4
460,3,2045,1
461,3,46,3
462,3,1111,2
463,3,720,6
464,3,422,37
465,3,1420,5
466,3,1737,5
467,3,341,4
468,3,1535,6
469,3,1917,16
470,3,332,8
471,3,323,4
472,3,57,1
473,3,130,10
474,3,862,1
475,3,1819,2
476,3,165,3
477,3,1481,1
478,3,62,6
479,3,63,3
480,3,229,6
481,3,146,4
482,3,490,175
483,3,496,2
484,3,2196,3
485,3,207,3
486,3,168,3
487,3,510,6
488,3,68,8
489,3,1605,2
490,3,474,2
491,3,839,4
492,3,1397,5
493,3,1094,3
494,3,406,9
495,3,402,2
496,3,235,1
497,3,176,8
498,3,462,6
499,3,1151,1
500,3,325,3
501,3,86,4
502,3,630,6
503,3,263,14
504,3,169,16
505,3,91,3
506,3,1667,2
507,3,603,14
508,3,92,3
509,3,1278,4
510,3,429,29
511,3,93,7
512,3,2167,7
513,3,820,1
514,3,1303,3
515,3,369,1
516,3,300,6
517,3,1256,7
518,3,152,2
519,3,99,3
520,3,802,4
521,3,100,2
522,3,101,6
523,3,2192,3
524,3,431,6
525,3,904,4
526,3,103,1
527,3,1170,2
528,3,481,8
529,3,1087,3
530,3,106,11
531,3,1337,13
532,3,108,3
533,3,418,3
534,3,528,5
535,3,731,3
536,3,637,3
537,3,2487,13
538,3,111,1
539,3,2397,10
540,3,321,7
541,3,215,9
542,3,1215,36
543,3,708,5
544,3,2256,2
545,3,114,3
546,3,115,5
547,3,627,19
548,3,1066,2
549,3,118,7
550,3,119,3
551,3,511,5
552,3,121,4
553,3,1086,4
554,3,395,17
555,3,2399,1
556,3,894,1
557,3,122,3
558,3,123,2
559,3,825,38
560,3,709,10
561,3,1301,2
562,3,124,4
563,3,1865,6
564,3,50,2
565,3,805,2
566,3,126,2
567,3,1425,4
568,3,129,1
569,3,1410,4
570,3,2309,3
571,3,132,2
572,3,1039,17
573,3,1478,4
574,3,551,1
575,3,135,2
576,3,1626,9
577,3,1317,22
578,3,751,2
579,3,138,3
580,3,139,4
581,3,1720,12
582,3,600,3
583,3,142,3
584,3,143,1
585,3,1832,2
586,3,1656,1
587,3,396,3
588,3,144,21
589,3,694,3
590,3,145,2
591,3,645,3
592,3,371,10
593,3,147,3
594,3,1759,10
595,3,148,10
596,3,151,1
597,3,470,1
598,3,569,3
599,3,2175,2
600,3,1972,3
601,3,1610,11
602,3,1222,5
603,3,1294,20
604,3,1810,1
605,3,2244,4
606,3,1053,19
607,3,217,22
608,3,1628,7
609,3,156,3
610,3,351,3
611,3,483,3
612,3,881,12
613,3,1939,6
614,3,1391,4
615,3,161,2
616,3,162,2
617,3,1247,2
618,3,163,3
619,3,2069,5
620,3,166,5
621,3,189,4
622,3,188,1
623,3,2430,3
624,3,594,2
625,3,236,7
626,3,2321,8
627,3,972,5
628,3,1017,34
629,3,178,8
630,3,179,6
631,3,1899,1
632,3,180,2
633,3,184,1
634,3,190,4
635,3,1095,4
636,3,278,10
637,3,192,4
638,3,195,4
639,3,255,7
640,3,2596,4
641,3,762,4
642,3,1047,25
643,3,577,8
644,3,196,2
645,3,198,4
646,3,200,1
647,3,202,2
648,3,654,10
649,3,205,3
650,3,685,10
651,3,2027,1
652,3,487,19
653,3,728,11
654,3,1713,7
655,3,208,2
656,3,209,4
657,3,210,2
658,3,530,1
659,3,211,1
660,3,559,3
661,3,214,10
662,3,216,5
663,3,758,5
664,3,218,2
665,3,219,4
666,3,220,2
667,3,222,3
668,3,223,2
669,3,1567,43
670,3,1467,50
671,3,225,2
672,3,226,1
673,3,227,3
674,3,228,1
675,3,232,1
676,3,233,4
677,3,234,3
678,3,1002,3
679,3,239,13
680,3,240,3
681,3,940,9
682,3,241,5
683,3,452,5
684,3,578,3
685,3,245,3
686,3,2115,4
687,3,1398,1
688,3,1795,16
689,3,2478,5
690,3,1919,7
691,3,253,3
692,3,405,12
693,3,589,5
694,3,254,2
695,3,1599,1
696,3,457,1
697,3,260,2
698,3,1777,1
699,3,2085,3
700,3,261,4
701,3,446,2
702,3,756,7
703,3,264,2
704,3,742,7
705,3,265,13
706,3,2061,2
707,3,475,1
708,3,267,2
709,3,328,5
710,3,271,2
711,3,272,2
712,3,2495,2
713,3,1018,3
714,3,273,2
715,3,699,2
716,3,1022,10
717,3,276,6
718,3,277,4
719,3,556,2
720,3,1306,7
721,3,666,2
722,3,279,3
723,3,281,1
724,3,283,3
725,3,1451,4
726,3,243,6
727,3,2576,7
728,3,288,1
729,3,2317,3
730,3,292,9
731,3,2419,4
732,3,296,2
733,3,673,8
734,3,298,5
735,3,2252,1
736,3,823,1
737,3,301,8
738,3,434,3
739,3,302,3
740,3,303,2
741,3,378,4
742,3,308,2
743,3,309,8
744,3,310,1
745,3,1516,2
746,3,312,2
747,3,314,8
748,3,316,1
749,3,317,2
750,3,318,3
751,3,1295,1
752,3,324,4
753,3,895,2
754,3,326,4
755,3,329,3
756,3,330,1
757,3,1575,2
758,3,359,9
759,3,331,3
760,3,1383,2
761,3,333,2
762,3,335,5
763,3,337,3
764,3,988,8
765,3,338,2
766,3,339,7
767,3,340,4
768,3,912,2
769,3,757,12
770,3,347,5
771,3,2038,5
772,3,350,9
773,3,2046,6
774,3,355,3
775,3,357,7
776,3,360,1
777,3,363,2
778,3,366,3
779,3,574,8
780,3,367,3
781,3,370,1
782,3,815,8
783,3,1862,4
784,3,322,1
785,3,2245,4
786,3,379,4
787,3,780,12
788,3,683,3
789,3,1402,4
790,3,381,2
791,3,383,5
792,3,384,3
793,3,385,5
794,3,1035,6
795,3,923,4
796,3,387,7
797,3,388,1
798,3,389,1
799,3,965,9
800,3,390,1
801,3,391,3
802,3,394,1
803,3,750,8
804,3,583,5
805,3,624,7
806,3,414,2
807,3,400,6
808,3,401,1
809,3,403,5
810,3,705,2
811,3,404,3
812,3,407,1
813,3,408,5
814,3,409,2
815,3,410,11
816,3,908,12
817,3,412,1
818,3,411,3
819,3,413,1
820,3,415,2
821,3,489,8
822,3,417,1
823,3,419,10
824,3,421,1
825,3,425,3
826,3,426,7
827,3,432,5
828,3,966,3
829,3,433,10
830,3,464,4
831,3,435,2
832,3,1864,2
833,3,436,3
834,3,2004,1
835,3,438,2
836,3,439,7
837,3,587,21
838,3,1057,8
839,3,443,8
840,3,657,2
841,3,444,4
842,3,319,13
843,3,1154,1
844,3,448,11
845,3,449,2
846,3,450,1
847,3,451,3
848,3,259,7
849,3,453,1
850,3,454,1
851,3,455,8
852,3,458,2
853,3,626,2
854,3,459,4
855,3,460,3
856,3,461,1
857,3,2624,8
858,3,463,4
859,3,467,2
860,3,468,1
861,3,2232,5
862,3,472,6
863,3,943,3
864,3,473,3
