max_degree,mean_degree,median_degree,nodes
6,4.666666666666667,5.0,3
6,5.0,5.0,2
525,48.30736842105263,22.0,475
9,6.333333333333333,5.0,3
6,4.666666666666667,4.0,3
3,3.0,3.0,2
13,8.5,8.5,4
3,3.0,3.0,2
29,17.25,18.0,8
23,12.142857142857142,11.0,7
8,7.5,7.5,2
337,40.50802139037433,23.5,374
8,5.5,5.5,2
7,4.5,4.5,2
8,6.0,5.0,3
8,5.0,5.0,2
5,4.5,4.5,2
8,5.5,5.5,2
11,9.333333333333334,10.0,3
18,11.5,11.0,4
25,7.571428571428571,3.0,7
15,12.5,14.0,6
23,11.571428571428571,9.0,7
10,8.0,8.0,5
14,11.0,11.0,3
8,7.5,7.5,2
11,7.333333333333333,6.0,3
13,7.666666666666667,6.0,3
5,4.5,4.5,2
8,6.666666666666667,6.0,3
5,4.0,4.0,2
2,2.0,2.0,2
6,4.5,4.5,2
4,4.0,4.0,2
13,6.5,5.5,4
8,5.666666666666667,7.0,3
7,4.5,4.5,2
2,2.0,2.0,2
5,4.5,4.5,2
6,5.0,5.0,2
5,4.0,4.0,2
7,6.0,6.0,4
76,14.594594594594595,10.0,37
5,3.5,3.5,2
18,13.666666666666666,14.0,3
5,5.0,5.0,2
11,7.0,7.0,3
16,10.75,9.5,4
7,6.5,6.5,2
3,2.5,2.5,2
5,3.6666666666666665,3.0,3
3,2.5,2.5,2
5,3.5,3.5,2
11,9.5,9.5,2
17,12.666666666666666,13.0,3
8,6.666666666666667,6.0,3
3,3.0,3.0,2
9,5.0,4.5,4
13,8.5,8.0,4
6,5.0,5.0,2
12,5.75,4.5,4
7,5.666666666666667,5.0,3
32,18.285714285714285,14.0,7
3,2.0,2.0,2
13,7.571428571428571,6.0,7
5,4.5,4.5,2
5,4.5,4.5,2
2,2.0,2.0,2
18,12.0,13.0,4
7,5.0,5.0,2
19,14.25,15.0,4
5,3.0,3.0,3
10,6.5,6.5,2
8,5.5,5.5,2
145,23.017142857142858,13.0,175
3,3.0,3.0,2
5,3.5,3.5,2
4,3.0,3.0,2
25,13.857142857142858,13.0,7
9,7.25,8.5,4
6,6.0,6.0,2
10,9.5,9.5,2
8,5.5,5.0,4
12,8.75,9.0,4
9,6.0,6.0,2
5,5.0,5.0,2
9,6.333333333333333,5.0,3
