Community,Topic,Time,Mean Sentiment
3.0,0.0,58.0,0.4753128536524469
3.0,0.0,59.0,0.4759398263536083
3.0,0.0,60.0,0.4769043609789045
3.0,0.0,61.0,0.4756376789649427
3.0,0.0,62.0,0.4774255008507542
3.0,0.0,63.0,0.4791968012612772
3.0,0.0,64.0,0.47702790089122576
3.0,0.0,65.0,0.4760761639627892
3.0,0.0,66.0,0.47626672832294636
3.0,0.0,67.0,0.4790870923656812
3.0,0.0,68.0,0.4776387431246841
3.0,0.0,69.0,0.47407871529531737
3.0,0.0,70.0,0.4761872765978534
3.0,0.0,71.0,0.47556130996994356
3.0,0.0,72.0,0.47508668596288883
3.0,0.0,73.0,0.4754446050829506
3.0,0.0,74.0,0.47584006930141154
3.0,0.0,75.0,0.4748589799930715
3.0,0.0,76.0,0.4713103309303795
3.0,0.0,77.0,0.47947001107669274
3.0,0.0,78.0,0.4731044528046453
3.0,0.0,79.0,0.4713733406776068
3.0,0.0,80.0,0.4732456889212657
3.0,0.0,81.0,0.4712591305361667
3.0,0.0,82.0,0.47097895898797065
3.0,0.0,83.0,0.47136360796883503
3.0,0.0,84.0,0.47016600045890916
3.0,0.0,85.0,0.47249356230838974
3.0,0.0,86.0,0.46723771001753955
3.0,0.0,87.0,0.47235226685122195
3.0,0.0,88.0,0.4685740526003205
3.0,0.0,89.0,0.4703438349253361
3.0,0.0,90.0,0.47145279462230943
3.0,0.0,91.0,0.4667783194049011
3.0,0.0,92.0,0.4710378107518593
3.0,0.0,93.0,0.4694073954721921
3.0,0.0,94.0,0.4672307678236831
3.0,0.0,95.0,0.47100197480949935
3.0,0.0,96.0,0.4662109459875327
3.0,0.0,97.0,0.46651640502367586
3.0,0.0,98.0,0.46610660413475946
3.0,0.0,99.0,0.46950840644382885
3.0,0.0,100.0,0.46775586179139467
3.0,0.0,101.0,0.46442261387027345
3.0,0.0,102.0,0.46778267268088275
3.0,0.0,103.0,0.4696776347551833
3.0,0.0,104.0,0.4667893768231505
3.0,0.0,105.0,0.46927203636420356
3.0,0.0,106.0,0.4672870308513769
3.0,0.0,107.0,0.4644760846181206
3.0,0.0,108.0,0.46894909943884133
3.0,0.0,109.0,0.4659505960205371
3.0,0.0,110.0,0.4659885851321117
3.0,0.0,111.0,0.4647703147950229
3.0,0.0,112.0,0.4673270928392138
3.0,0.0,113.0,0.46268233912440343
3.0,0.0,114.0,0.4630397851087612
3.0,0.0,115.0,0.46542833714651943
3.0,0.0,116.0,0.46393986794771275
3.0,0.0,117.0,0.4665184872288541
3.0,0.0,118.0,0.4629766834956877
3.0,0.0,119.0,0.4601927012149699
3.0,0.0,120.0,0.46473201546100573
3.0,0.0,121.0,0.4609634112674466
3.0,0.0,122.0,0.4598168559285375
3.0,0.0,123.0,0.46017894946900895
3.0,0.0,124.0,0.45955680079542477
3.0,0.0,125.0,0.4638806280256283
3.0,0.0,126.0,0.46451716197903653
3.0,0.0,127.0,0.4643827813318231
3.0,0.0,128.0,0.46056428042536063
3.0,0.0,129.0,0.4587964296202357
3.0,0.0,130.0,0.46244291160953405
3.0,0.0,131.0,0.46150812347770337
3.0,0.0,132.0,0.4639399945647009
3.0,0.0,133.0,0.46309205875357967
3.0,0.0,134.0,0.46006516301411937
3.0,0.0,135.0,0.46015354399515995
3.0,0.0,136.0,0.4580805957975829
3.0,0.0,137.0,0.4611047370601986
3.0,0.0,138.0,0.4631807269378305
3.0,0.0,139.0,0.46144135307412376
3.0,0.0,140.0,0.45839596664290344
3.0,0.0,141.0,0.4618107215573203
3.0,0.0,142.0,0.45684973734901424
3.0,0.0,143.0,0.4606445111316212
3.0,0.0,144.0,0.4594287479889389
3.0,0.0,145.0,0.46132447969483314
3.0,0.0,146.0,0.4567475568139077
3.0,0.0,147.0,0.4563376334862402
3.0,0.0,148.0,0.45901728817025195
3.0,0.0,149.0,0.4617449777471886
3.0,0.0,150.0,0.4570639388418509
3.0,0.0,151.0,0.4603993998484635
3.0,0.0,152.0,0.45852851093428876
3.0,0.0,153.0,0.45898534037377575
3.0,0.0,154.0,0.4587045412758402
3.0,0.0,155.0,0.4567743867176645
3.0,0.0,156.0,0.4569107199539601
3.0,0.0,157.0,0.45852357435581326
3.0,0.0,158.0,0.45410788539374697
3.0,0.0,159.0,0.4555204552590074
3.0,0.0,160.0,0.45695892864355553
3.0,0.0,161.0,0.4541913782229802
3.0,0.0,162.0,0.4586554652325801
3.0,0.0,163.0,0.45689130252161625
3.0,0.0,164.0,0.45893311547193416
3.0,0.0,165.0,0.45398612245673353
3.0,0.0,166.0,0.45610103894824694
3.0,0.0,167.0,0.45584242114087115
3.0,0.0,168.0,0.45467473427859767
3.0,0.0,169.0,0.45951064252494384
3.0,0.0,170.0,0.45154481813331643
3.0,0.0,171.0,0.45603449002124663
3.0,0.0,172.0,0.4569044178431554
3.0,0.0,173.0,0.45554316788052973
3.0,0.0,174.0,0.45490530167788756
3.0,0.0,175.0,0.4546732169007991
3.0,0.0,176.0,0.4533379404532892
3.0,0.0,177.0,0.45231238885950154
3.0,0.0,178.0,0.4540795443761595
3.0,0.0,179.0,0.45104251162246906
3.0,0.0,180.0,0.455607960181624
3.0,0.0,181.0,0.4553627946499857
3.0,0.0,182.0,0.4544468521238704
3.0,0.0,183.0,0.4495504203844367
3.0,0.0,184.0,0.45035088711810245
3.0,0.0,185.0,0.45193963923155656
3.0,0.0,186.0,0.4474990423052998
3.0,0.0,187.0,0.4502482195088896
3.0,0.0,188.0,0.45111937006312774
3.0,0.0,189.0,0.45109996904220423
3.0,0.0,190.0,0.4507792617577932
3.0,0.0,191.0,0.44952996802375833
3.0,0.0,192.0,0.4494792499706474
3.0,0.0,193.0,0.4555671604646011
3.0,0.0,194.0,0.45101727962666704
3.0,0.0,195.0,0.4524526722174473
3.0,0.0,196.0,0.44979632719003587
3.0,0.0,197.0,0.45054306767323143
3.0,0.0,198.0,0.44998059794897094
3.0,0.0,199.0,0.4492177835670387
3.0,0.0,200.0,0.44935813316876555
3.0,0.0,201.0,0.4489606370194279
3.0,0.0,202.0,0.44463741517332905
3.0,0.0,203.0,0.4539422726013701
3.0,0.0,204.0,0.44900955213881283
3.0,0.0,205.0,0.4468256300324985
3.0,0.0,206.0,0.44865098388089436
3.0,0.0,207.0,0.4449868282550011
3.0,0.0,208.0,0.44741086777484684
3.0,0.0,209.0,0.4461731634303141
3.0,0.0,210.0,0.45124666220524384
3.0,0.0,211.0,0.4476799170849205
3.0,0.0,212.0,0.44948400009011996
3.0,0.0,213.0,0.44636158913153423
3.0,0.0,214.0,0.4441885311584843
3.0,0.0,215.0,0.44803151234006966
3.0,0.0,216.0,0.4462802710607956
3.0,0.0,217.0,0.44904900663522873
3.0,0.0,218.0,0.44211922150514993
3.0,0.0,219.0,0.4452287029989717
3.0,0.0,220.0,0.44807648200332356
3.0,0.0,221.0,0.4446979085206122
3.0,0.0,222.0,0.44475645198134706
3.0,0.0,223.0,0.44701059083211864
3.0,0.0,224.0,0.44634089614242217
3.0,0.0,225.0,0.4444267273138532
3.0,0.0,226.0,0.44421114245526216
3.0,0.0,227.0,0.4438134006235237
3.0,0.0,228.0,0.44345376413289234
3.0,0.0,229.0,0.44556582691942764
3.0,0.0,230.0,0.4478588214525865
3.0,0.0,231.0,0.4451105423400033
3.0,0.0,232.0,0.4457072012316201
3.0,0.0,233.0,0.4464850788947801
3.0,0.0,234.0,0.44635535192276954
3.0,0.0,235.0,0.44467192486124946
3.0,0.0,236.0,0.4418662042602438
3.0,0.0,237.0,0.4477264392935885
3.0,0.0,238.0,0.44282532044262346
3.0,0.0,239.0,0.4443325266821162
3.0,0.0,240.0,0.44432546090931063
3.0,0.0,241.0,0.4419961845662967
3.0,0.0,242.0,0.4460646946464205
3.0,0.0,243.0,0.44113221256487545
3.0,0.0,244.0,0.44399043365861635
3.0,0.0,245.0,0.44489348821368324
3.0,0.0,246.0,0.44311886646901283
3.0,0.0,247.0,0.4408928449230312
3.0,0.0,248.0,0.4416890424030241
3.0,0.0,249.0,0.4390632780817752
3.0,0.0,250.0,0.44283134390502404
3.0,0.0,251.0,0.44179809085507366
3.0,0.0,252.0,0.44247470315212745
3.0,0.0,253.0,0.4413300674455927
3.0,0.0,254.0,0.4407697872397378
3.0,0.0,255.0,0.4433325184038773
3.0,0.0,256.0,0.4411631468374042
3.0,0.0,257.0,0.4406744500823038
3.0,0.0,258.0,0.4417670888859833
3.0,0.0,259.0,0.44293973190490843
3.0,0.0,260.0,0.4435447440175372
3.0,0.0,261.0,0.4402279239801652
3.0,0.0,262.0,0.4396700065118345
3.0,0.0,263.0,0.44031004320521194
3.0,0.0,264.0,0.440694733638135
3.0,0.0,265.0,0.44080123554690087
3.0,0.0,266.0,0.44041765071081623
3.0,0.0,267.0,0.43778283367374005
3.0,0.0,268.0,0.4426681592424245
3.0,0.0,269.0,0.4374234597406358
3.0,0.0,270.0,0.44040251983877504
3.0,0.0,271.0,0.4364483898796286
3.0,0.0,272.0,0.4436347102410501
3.0,0.0,273.0,0.4352824123987644
3.0,0.0,274.0,0.4391140691043316
3.0,0.0,275.0,0.43703347846910406
3.0,0.0,276.0,0.4395295059589485
3.0,0.0,277.0,0.43524242568238447
3.0,0.0,278.0,0.4349504766419667
3.0,0.0,279.0,0.43811992629717333
3.0,0.0,280.0,0.4367260458251433
3.0,0.0,281.0,0.4360658785214981
3.0,0.0,282.0,0.4382068791103727
3.0,0.0,283.0,0.4381409474789164
3.0,0.0,284.0,0.4374931999041319
3.0,0.0,285.0,0.44052141739201156
3.0,0.0,286.0,0.437691544209006
3.0,0.0,287.0,0.43785934447096914
3.0,0.0,288.0,0.43521194808474295
3.0,0.0,289.0,0.43702213173497173
3.0,0.0,290.0,0.43660078479547404
3.0,0.0,291.0,0.43623240643382655
3.0,0.0,292.0,0.43606088402943183
3.0,0.0,293.0,0.4333828248535328
3.0,0.0,294.0,0.4367013917582345
3.0,0.0,295.0,0.43591741683309704
3.0,0.0,296.0,0.4361631587345817
3.0,0.0,297.0,0.4362758449241433
3.0,0.0,298.0,0.4386583983811294
3.0,0.0,299.0,0.4346892371912238
3.0,0.0,300.0,0.4392969798561541
3.0,0.0,301.0,0.4357454273195156
3.0,0.0,302.0,0.43506470735916225
3.0,0.0,303.0,0.4358960593645758
3.0,0.0,304.0,0.43783611865425937
3.0,0.0,305.0,0.4347251061924521
3.0,0.0,306.0,0.4335107172397991
3.0,0.0,307.0,0.43260436601864083
3.0,0.0,308.0,0.4362106831165349
3.0,0.0,309.0,0.4304453821550125
3.0,0.0,310.0,0.4374657749237563
3.0,0.0,311.0,0.4293186059805299
3.0,0.0,312.0,0.4364860066147819
3.0,0.0,313.0,0.4282865039861973
3.0,0.0,314.0,0.4318962346784301
3.0,0.0,315.0,0.4354253276598529
3.0,0.0,316.0,0.4354764875175732
3.0,0.0,317.0,0.43190753714077473
3.0,0.0,318.0,0.4317661138621674
3.0,0.0,319.0,0.4334643744873347
3.0,0.0,320.0,0.43134804517729863
3.0,0.0,321.0,0.43213344753711386
3.0,0.0,322.0,0.4365735609089865
3.0,0.0,323.0,0.43169360609607815
3.0,0.0,324.0,0.43124648330325144
3.0,0.0,325.0,0.43263022341018514
3.0,0.0,326.0,0.43607210635085136
3.0,0.0,327.0,0.4300621435321832
3.0,0.0,328.0,0.4317707715810023
3.0,0.0,329.0,0.43413181557330005
3.0,0.0,330.0,0.4291560612927487
3.0,0.0,331.0,0.43119045016807184
3.0,0.0,332.0,0.4324356786339676
3.0,0.0,333.0,0.4333990191374046
3.0,0.0,334.0,0.4318331606639377
3.0,0.0,335.0,0.4334788086228008
3.0,0.0,336.0,0.4281882586719973
3.0,0.0,337.0,0.4315654742237641
3.0,0.0,338.0,0.42844106891949846
3.0,0.0,339.0,0.43218750095469727
3.0,0.0,340.0,0.4298980967890347
3.0,0.0,341.0,0.4283883287177853
3.0,0.0,342.0,0.43093936628808654
3.0,0.0,343.0,0.4270649556060438
3.0,0.0,344.0,0.43307578880634096
3.0,0.0,345.0,0.42890376822963694
3.0,0.0,346.0,0.43109857855926115
3.0,0.0,347.0,0.43021444986767426
3.0,0.0,348.0,0.4316764217981277
3.0,0.0,349.0,0.43075908262240786
3.0,0.0,350.0,0.4277627694925703
3.0,0.0,351.0,0.42677653554608364
3.0,0.0,352.0,0.4283631751498801
3.0,0.0,353.0,0.43188850878201285
3.0,0.0,354.0,0.42661133889085745
3.0,0.0,355.0,0.4315817319080692
3.0,0.0,356.0,0.43005733988544875
3.0,0.0,357.0,0.42786849595966336
3.0,0.0,358.0,0.4305967522070773
3.0,0.0,359.0,0.4308560692985065
3.0,0.0,360.0,0.4279342203598668
3.0,0.0,361.0,0.42781117906377514
3.0,0.0,362.0,0.42620830225136247
3.0,0.0,363.0,0.4335756365748169
3.0,0.0,364.0,0.42821017960571034
3.0,0.0,365.0,0.4277900511518978
3.0,0.0,366.0,0.4281622000907032
3.0,0.0,367.0,0.43079841270474734
3.0,0.0,368.0,0.4268941575709718
3.0,0.0,369.0,0.42271249097920655
3.0,0.0,370.0,0.42974806608071997
3.0,0.0,371.0,0.4290416102454696
3.0,0.0,372.0,0.4266521346990396
3.0,0.0,373.0,0.42778182372538615
3.0,0.0,374.0,0.4291359457213857
3.0,0.0,375.0,0.42673764311588785
3.0,0.0,376.0,0.4255928253650045
3.0,0.0,377.0,0.4234526386361465
3.0,0.0,378.0,0.4300368020094065
3.0,0.0,379.0,0.42322834874379284
3.0,0.0,380.0,0.4275371790259425
3.0,0.0,381.0,0.42712612744176015
3.0,0.0,382.0,0.4266116481618293
3.0,0.0,383.0,0.42494806784138295
3.0,0.0,384.0,0.4289175248354026
3.0,0.0,385.0,0.4291930708729368
3.0,0.0,386.0,0.42391809712848266
3.0,0.0,387.0,0.426143088457833
3.0,0.0,388.0,0.42755719331285535
3.0,0.0,389.0,0.4251530416914644
3.0,0.0,390.0,0.42531481253981224
3.0,0.0,391.0,0.4266261275484689
3.0,0.0,392.0,0.42739043771924623
3.0,0.0,393.0,0.421927181254009
3.0,0.0,394.0,0.4252902232101069
3.0,0.0,395.0,0.42398681944305683
3.0,0.0,396.0,0.4219566065204821
3.0,0.0,397.0,0.42370635678475504
3.0,0.0,398.0,0.42134488838503303
3.0,0.0,399.0,0.4244295097457849
3.0,0.0,400.0,0.4245759661770818
3.0,0.0,401.0,0.4259113038106035
3.0,0.0,402.0,0.4227069677244938
3.0,0.0,403.0,0.4294920961441022
3.0,0.0,404.0,0.4209147829522682
3.0,0.0,405.0,0.42371936206531424
3.0,0.0,406.0,0.42142195180298714
3.0,0.0,407.0,0.4210874193233719
3.0,0.0,408.0,0.4257355844598577
3.0,0.0,409.0,0.420023931035445
3.0,0.0,410.0,0.42096167799870937
3.0,0.0,411.0,0.4251943536281213
3.0,0.0,412.0,0.4225455262119534
3.0,0.0,413.0,0.42308261677201187
3.0,0.0,414.0,0.4210480739152757
3.0,0.0,415.0,0.4231155039396674
3.0,0.0,416.0,0.42242761615122887
3.0,0.0,417.0,0.4231340438161314
3.0,0.0,418.0,0.4184486429594237
3.0,0.0,419.0,0.42142094638430116
3.0,0.0,420.0,0.4224217416199386
3.0,0.0,421.0,0.4202721665322899
3.0,0.0,422.0,0.42516667726865404
3.0,0.0,423.0,0.42615829980724307
3.0,0.0,424.0,0.42013427872547454
